S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350160,672,11261,8571,3025,2353,0,2185,60168,8235,10420,0,0,504,1008,1513,8571,0
5350161,649,9084,11464,3172,3244,577,4398,51911,6705,9373,577,0,1298,1298,3317,16871,0
5350162,1546,13299,12165,3093,3505,722,5567,42268,11959,8454,1753,515,2062,1753,4124,18351,206
5350163,1015,12176,21759,4735,7328,1466,10034,42841,6877,8005,789,451,1015,4059,3720,13303,225
5350164,1726,14133,22597,5505,7560,1397,12490,32210,10353,6081,904,740,3944,2054,4437,13476,575
5350165,1515,19231,35897,6876,14685,3147,24009,24476,3963,5245,466,1515,2214,3497,1748,11072,583
5350166,239,21147,20430,2628,9438,836,43369,8841,3226,3704,0,2628,717,3584,1673,15054,0
5350167.01,1882,13978,31720,6989,11828,538,32796,15323,5108,2419,0,538,1075,2957,3763,6452,0
5350167.02,2872,17493,28634,7224,12272,2089,17581,17842,5918,6266,522,609,1131,3133,3655,19843,522
5350168,1340,11618,18052,4468,5898,1251,12154,24039,11439,8043,268,894,1698,2502,2949,26273,447
5350169.01,427,9402,9402,2707,4131,285,5556,27066,8405,5840,285,0,2422,2564,5271,38604,0
5350169.02,1505,8482,13817,4241,5472,752,16621,29480,6566,9097,410,1026,1573,4104,2052,23119,137
5350170,295,6795,5170,1773,2659,0,1920,53028,6056,9306,295,295,591,1034,3250,21566,0
5350171,527,7115,5402,1318,1054,0,3426,37418,16469,3689,6324,0,6061,2503,7115,12648,0
5350172,2529,13619,10117,1946,2335,389,3502,25292,30156,9533,1556,389,584,389,5447,14008,0
5350173,2246,11757,12285,2642,4095,925,2906,17569,19155,10040,8058,0,3303,1585,4624,19551,0
5350174,880,9905,7410,2128,2861,147,6016,18782,22597,10932,4622,147,7777,2641,6383,14380,293
5350175.01,1080,10963,12625,2990,3239,581,5980,19684,21179,8887,4734,415,9551,1329,5150,13953,166
5350175.02,1375,10216,14145,2227,4126,262,4781,13687,25802,7335,6483,589,10675,3602,4846,8120,131
5350176,1489,12407,30025,6824,7320,868,10670,37469,7568,8809,744,0,1489,1737,5087,8561,0
5350180,1807,19403,29694,6834,9348,1885,13747,15161,7070,3456,943,786,7070,4635,13590,11862,157
5350181.01,3837,17558,40116,9767,12791,1977,12093,18488,6512,2907,233,349,814,1628,4302,17558,465
5350181.02,2962,23554,41467,8039,11142,2539,13963,18618,5078,3385,987,282,705,846,4795,15656,0
5350182,2713,19738,42563,9167,12629,3181,11693,24041,3648,3555,468,935,842,2339,5239,17025,187
5350183.01,2453,16415,32830,4906,9811,1132,7358,39245,2075,1698,0,0,0,2830,4528,16604,377
5350183.02,2222,24815,46790,10370,16420,3580,9012,20988,2099,1481,0,494,494,2346,7037,16667,0
5350184.01,2383,14598,30586,6356,10427,1291,9633,29196,4171,3774,199,199,596,2781,8441,14796,596
5350184.02,2442,21710,34057,7056,10176,2307,7734,28901,4478,2985,678,0,407,1085,6106,18996,0
5350185.01,1241,12774,31095,7737,9489,2190,11971,33796,3650,4453,219,438,876,4891,4964,12263,219
5350185.02,2121,15513,31920,8036,8817,2902,12054,29799,3795,3237,446,670,2009,4241,7031,11719,0
5350186,2720,19665,56904,6904,13808,4184,12343,16736,1674,2092,1255,1046,628,2720,4184,8159,1464
5350187,2270,15745,38582,7943,8085,2128,7943,34468,5106,2695,0,0,567,1986,3546,13759,0
5350188,1000,18250,40000,7250,11000,1500,8750,33250,2500,2000,0,500,0,4750,1000,16500,750
5350189,3349,21767,31163,6791,6140,1395,8837,22047,8837,2977,1581,465,2419,3070,11814,10884,279
5350190.01,1316,7950,9265,1754,3180,439,1754,6250,4057,2632,1042,548,3289,3783,54660,13213,0
